country,estimate,percentage
Latin America,22111409,0.202
Central America,15027927,0.137
Mexico,11643298,0.106
South Eastern Asia,4228958,0.039
Caribbean,4165453,0.038
Eastern Asia,4085872,0.037
South Central Asia,3797442,0.035
South America,2918029,0.027
China,2676697,0.024
India,2389639,0.022
Eastern Europe,2097040,0.019
Philippines,1982369,0.018
El Salvador,1352357,0.012
Vietnam,1300515,0.012
Cuba,1210674,0.011
Western Asia,1088369,0.010
Dominican Republic,1063239,0.010
Korea,1060019,0.010
137 Others*,25517710,0.233